name,address,Primary_Cuisine,website,Ranking_Description,Customer_Rating
Valiyakadayil Restaurant,"Peroorkada Junction, Thiruvananthapuram (Trivandrum) 695005 India",Chinese,,#195 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Grandma's Kitchen Family Restuarant,"Ground Floor Mahatma Gandhi Road, Thiruvananthapuram (Trivandrum) 695011 India",Chinese,,#273 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
junction art cafe gallery,"canara Bank Building, Thiruvananthapuram (Trivandrum) India",Cafe,,#302 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Saj Luciya,"Eastfort Opposite Jayalekshmi, Thiruvananthapuram (Trivandrum) 695023 India",Chinese,http://www.sajhotels.com,#293 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Zia's cafe,"Arattuvazhi, Thiruvananthapuram (Trivandrum) India",Cafe,,#429 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Flavours Restaurant,"Vazhuthacaud Road Samrudhi Magnet, DPI, Vazhuthacaud, Thiruvananthapuram (Trivandrum) 695014 India",Indian,,#199 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Golden Fork,"Maurya Rajadhani Hotel, Statue-General Hospital Road, Thiruvananthapuram (Trivandrum) 695001 India",Asian,http://Mauryarajadhani.com,#160 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Ariya Jyothi,"NH Road Near LIC, Pattom, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,#127 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Vayalil Hotel Restaurant,"Pazhavangadi Thakaraparambu Road, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#186 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Sea Shore,"Sea Shore Restaurant Hawa Beach Kovalam, Thiruvananthapuram (Trivandrum) 695521 India",Chinese,,#152 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Bake World,"Opposite Federal Bank,kallara Kazhakuttom, Opposite Ioc Pump, Thiruvananthapuram (Trivandrum) 695608 India",Chinese,,#318 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
GP Hotel and Tea Shop,"Sree Ramakrishna Mission Hospital Rd, Thiruvananthapuram (Trivandrum) 695010 India",,,#260 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Poovar Restaurant,"Nellikakuzhi, Kanjiramkulam PO, Thiruvananthapuram (Trivandrum) 695524 India",Indian,http://www.backwatersofpoovar.com,#112 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Vayalil Family Restaurant,"1207 - 8 Eenchakal Junction Tc 36, Thiruvananthapuram (Trivandrum) 695008 India",Indian,http://www.facebook.com/VayalilFamilyRestaurant/,#262 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
"Rahmaniya, kethel, plamoodu","plamoodu Pattom road left side near HDFC ATM, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,#126 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Subway,"Keston Road, Thiruvananthapuram (Trivandrum) 695003 India",Fast Food,http://www.subway.co.in,#105 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Halais Dum Biryani,"Near Infosys, Thampuranmukku Thamburanmukku, Opp Infosys, Thiruvananthapuram (Trivandrum) 695021 India",Indian,http://halais.in/menu.html,#116 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Cafe Mojo,"Shaheen Building, Kuravankonam Junction Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.thecafemojo.com/,#67 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Terrace By Makkawao,"Attinkuzhy Rd Asiatic Business Center, Thiruvananthapuram (Trivandrum) 695581 India",,https://www.facebook.com/terracemakkawao/,#249 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Vizhinjam Foods,"MLA Road, Thiruvananthapuram (Trivandrum) 695009 India",Seafood,,#212 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Travancore Aramana,"Vanross Junction, Thiruvananthapuram (Trivandrum) 695035 India",Indian,,#109 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
De Paris,"Vellayambalam Sasthamangalam Road Sasthamangalam, Thiruvananthapuram (Trivandrum) 695010 India",Indian,http://web.facebook.com/De-paris-891799114188636,#145 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Aroma Classic Days,"Vanrossjn, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#217 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hotel Malabar Restaurant,"Tc 41/2576 6 M L A Road, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#309 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Cricket.shack,"5th Floor, Asiatic Business Center, Near To Toyota Used Car Showroom, Service Road , Attinkuzhi 5th floor Asiatic Business Centre Building, Thiruvananthapuram (Trivandrum) 695582 India",Italian,http://www.cricketshack.in,#122 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Amazon,"Kumarapuram Road Hotel Ruby Arena, Thiruvananthapuram (Trivandrum) 695011 India",Indian,http://www.hotelrubyarena.com/amazon.html,,
Kutty's Homely Restaurant,"Tc 25/1532 2 Ss Kovil Road Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",,,#260 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Hotel Aruna Restaurant,"Palayam Junction Opposite Saphalyam Complex, Thiruvananthapuram (Trivandrum) 695033 India",Indian,,#73 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Baskin Robbins,"Bakery Junction Near Petrol Pump Vanross Road, Thiruvananthapuram (Trivandrum) 695034 India",,http://www.baskinrobbinsindia.com,#176 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Azad Restaurant,"Chalai Bazar Near Seematti, Chalai, Thiruvananthapuram (Trivandrum) 695036 India",Indian,,#158 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Azad Restaurant,"CV Raman Pillai Rd, Vazhuthacaud Junction, Thiruvananthapuram, Thiruvananthapuram (Trivandrum) 695034 India",Indian,,#103 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Sree Lekshmi Narayana Bhavan,"Manorama Road, Aristo Junction Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#104 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Le Arabia,"National Highway 47 Bypass Road Near Syndicate Bank, Thiruvananthapuram (Trivandrum) 695582 India",Chinese,http://www.learabia.in,#70 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Chayakappal,"Service Rd, Thiruvananthapuram (Trivandrum) 695582 India",Indian,http://en-gb.facebook.com/chayakappal,#344 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Thiruvanthapuram,"Basement Floor Ksrtc Bus Terminal Thapanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#303 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Vigneshwara Brahmins Restaurant,"Tc 40/41, Anaval Street, Thekkekota Manacaud, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#322 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
S P R Hotel & Family Restaurant,"No 7/180 Balaramapuram, Thiruvananthapuram (Trivandrum) 695501 India",,,#127 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Entree,"TC 18/1817-1,Kuravankonam, Opp KIMS Wellness Clinic, Thiruvananthapuram (Trivandrum) 695003 India",European,,#119 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Over The Hill Restaurant,"Unchakada P.O, Poovar, Thiruvananthapuram (Trivandrum) 695506 India",Chinese,http://www.overthehill.in/facilities.php,#160 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Marhaba Restaurant,"Sasthamangalam Opposite Nss Karayogam, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,,#251 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Juice Shack,"Varkala, Thiruvananthapuram (Trivandrum) 678581 India",Indian,,#124 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Oasis Ice Cream Parlour,"Vellayambalam Near Indira Bhavan, Thiruvananthapuram (Trivandrum) 695010 India",,,#173 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sagara,"Sagara Beach Resort, Light House Road Kovalam Vizhinjam, Thiruvananthapuram (Trivandrum) 695523 India",Indian,http://Www.sagarakovalam.com,#147 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Agastya Farm Restaurant,"Basement Floor Ksrtc Bus Terminal Thampanoor, Thiruvananthapuram (Trivandrum) 695001 India",Indian,,#300 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Neelakanta Beach Resort Kovalam,"Beach Kovalam, Thiruvananthapuram (Trivandrum) 695527 India",Indian,,#418 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Iyers kitchen,"3/1604/3 Kesavadasapuram Road NSP Nagar, Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695011 India",Indian,http://www.facebook.com/Iyers-Kitchen-1764262220561257/,#108 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
The Diet Restaurant,"Somatheeram Ayurveda Village Somatheeram Research Institute & Ayurveda Hospital, Chowara, Thiruvananthapuram (Trivandrum) 695501 India",Chinese,https://somatheeram.in/restaurant.php,#189 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Keys Cafe,"Press Road Keys Select Thiruvananthapuram - By Lemon Tree Hotels, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,https://www.lemontreehotels.com/keys-select-hotel/thiruvananthapuram/hotel-thiruvananthapuram/restaurants.aspx,#131 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Malabar Paradise,"M G Road opp Secretariat., Thiruvananthapuram (Trivandrum) 695001 India",Indian,http://www.chiraginn.in/about.php,#223 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Anand Bhavan,"MG Road, Thiruvananthapuram (Trivandrum) 695001 India",,,#329 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Sindhoor Park Restaurant,"Opposit Shankumugam Devi Temple, Thiruvananthapuram (Trivandrum) 695007 India",,,#208 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
My Place,"North Cliff, Varkala, Thiruvananthapuram (Trivandrum) 695141 India",Chinese,,#253 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Dar Es Salaam Resto,"Sasthamangalam Road Lumiere Towers, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,,#165 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Rahath Restaurant,"MRC Complex, Manacad, TVM Manacaud, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#159 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Noormahal,"Palayam University Road Opposite to University College, Thiruvananthapuram (Trivandrum) 695034 India",Cafe,,#133 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
"MRA Bakery, Restaurant & Sweets","VJT-University Road Opposite M.L.A. Hostel, Thiruvananthapuram (Trivandrum) 695034 India",Cafe,http://www.mratrivandrum.com,#165 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.5
Indian Coffee House,"Attukal Near Attukal Temple, Thiruvananthapuram (Trivandrum) 695009 India",,http://www.indiancoffeehouse.com,#222 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Variety Fresh Juice and Amul Ice-Cream Corner,"Tc 38/1669 M G Road Opposite Josco Jewellery, Thiruvananthapuram (Trivandrum) 695036 India",,,#113 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Slice of Spice,"Vettu Rd, Thiruvananthapuram (Trivandrum) 695582 India",Indian,https://www.facebook.com/sliceofspiceKZK/,#183 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Kappil Meadows,"Kappil Near Priyadarshini Boat Club Kappil, Varkala, Thiruvananthapuram , Kerala, India, Thiruvananthapuram (Trivandrum) 695311 India",Chinese,http://www.kappilmeadows.com,#460 of 907 places to eat in Thiruvananthapuram (Trivandrum),1.0
Bismi Hotel Restaurant,"Attakulangara Junction Near Joy Alukkas, Thiruvananthapuram (Trivandrum) 695036 India",Indian,,#271 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.0
Al Hassan,"Tc 41/5 Opposite Sahaya Matha Church, Thiruvananthapuram (Trivandrum) 695009 India",Chinese,,#154 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Pankaj,"MG Road Opposite Government of Statue, Thiruvananthapuram (Trivandrum) 695001 India",Chinese,,#135 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Hotel Chinnus Restaurant,"M C Road Kesavadasapuram, Thiruvananthapuram (Trivandrum) 695004 India",Indian,,#464 of 907 places to eat in Thiruvananthapuram (Trivandrum),2.5
Kings Restaurant,"Near Envestnet, Kuravankonam, Kowdiar Near Envestnet, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.kingsrestaurant.in,#179 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
The Olive Restaurant,"No - O - 1 Jawahar Nagar Road Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",,http://www.facebook.com/theolive.tvm,#163 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Aryaas,"Chackai Bypass Opposite Ima, Thiruvananthapuram (Trivandrum) 695029 India",,,#217 of 727 Restaurants in Thiruvananthapuram (Trivandrum),3.5
Hopper Restaurants (String Hopper & Coffee Hopper),"Ulloor - Akkulam Road Near NH Bypass, Kuzhivila Junction, Thiruvananthapuram (Trivandrum) 695583 India",Chinese,http://www.hopper-restaurant.com,#103 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Arulakam Veg Restaurant,"Thampanoor Railwaystation Road Near Railway Station, Thiruvananthapuram (Trivandrum) 695001 India",,,#230 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
The Grill,"The Grill, Stargate Ground Floor Shasthamngalam, Thiruvananthapuram (Trivandrum) 695010 India",Chinese,,#209 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
MRA Restaurant,"Opposite M.L.A. Hostel, Palayam, Thiruvananthapuram (Trivandrum) 695034 India",Indian,http://www.mratrivandrum.com/index.php,#107 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Slice of Spice,"545, Paris Rd Maria Fashion, Nandavanam, Palayam, Thiruvananthapuram (Trivandrum) 695033 India",Indian,https://www.facebook.com/sliceofspicetvm/,#69 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Hotel Sree Saravana Bhavan,"Convent Road, Thiruvananthapuram (Trivandrum) 695121 India",,,#211 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Taj Hotel Restaurant,"University of Kerala Senate House Campus, Palayam Underpass Opposite Muslim Mosque, Palayam, Thiruvananthapuram (Trivandrum) 695033 India",,,#125 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Buhari Hotel Restaurant,"Attakulangara, Eastfort, Thiruvananthapuram (Trivandrum) 695036 India",Indian,https://www.facebook.com/Buhari-Restaurant-244261379085591/timeline/,#345 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
The Main Course,"Narmada Shopping Complex, Kowdiar Near Income Tax Office, Kowdiar, Thiruvananthapuram (Trivandrum) 695003 India",Chinese,http://www.themaincourse.in,#46 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Up North Restaurant,"Vazhuthacaud Road Opposite Govt. Women's College, Vazhuthacaud, Thiruvananthapuram (Trivandrum) 695014 India",Indian,http://www.upnorthrestaurant.co.in,#25 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Twist - Vivanta By Taj,"Taj Trivandrum Kerala C V Raman, Pillai Road, Thiruvanthampuram, Thiruvananthapuram (Trivandrum) 695014 India",,http://www.vivantabytaj.com/Trivandrum-Kerala/Dining/Twist-Bar.html,#55 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Cafe Mannam Restaurant,"Enchakkal Bypass Opposite Ananthapuri Hospital Near Trivandrum International Airport, Thiruvananthapuram (Trivandrum) 695024 India",Indian,http://www.mannaminternational.com,#98 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sijis Pizza Street,"Opposite To Tennis Complex, Kumarapuram, Medical College P.o. Opposite to Tennis Complex, Kumarapuram, Medical College P.O., Thiruvananthapuram (Trivandrum) 695011 India",Pizza,https://www.facebook.com/sijispizzastreet/,#169 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Agrahaara,"Sreevaraham, Manacadu P.o, Tvm, Kerala Sreevaraham, Manacaud, Thiruvananthapuram (Trivandrum) 695009 India",Indian,,#48 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.5
Lantern Grove Restaurants,"Bhakthivilasom Road, Vazthacaud DPI road, Thiruvananthapuram (Trivandrum) 695014 India",Indian,http://wwwLanterngrove.in,#235 of 907 places to eat in Thiruvananthapuram (Trivandrum),5.0
Highland Hotel Restaurant,"Manjalikulam Road, Thiruvananthapuram (Trivandrum) India",Chinese,http://www.highland-hotels.com,#270 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
1976,"Gpo Ln Ambujavilasam Road Near Capital Hotel,, Thiruvananthapuram (Trivandrum) 695001 India",American,http://1976.in/,#23 of 727 Restaurants in Thiruvananthapuram (Trivandrum),4.0
Restaurant at Trivandrum Hotel,"YMCA Road, Thiruvananthapuram (Trivandrum) 695 001 India",Indian,http://trivandrumhotel.net,#45 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Sri Ananthapuri Vegetarian Restaurant,"Kesavadasapuram Opposite Kedaram Shopping Complex, Thiruvananthapuram (Trivandrum) 695004 India",,,#161 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
Panchali Restaurant,"Ground Floor, Rajadhani Buildings, Eastfort East Fort, Thiruvananthapuram (Trivandrum) 695023 India",Indian,,#172 of 907 places to eat in Thiruvananthapuram (Trivandrum),3.5
Venkadesa Bhavan,"2 37/1848 Venkadesa Bhavan West Nada Pazhavangadi, Thiruvananthapuram (Trivandrum) 695023 India",Asian,,#137 of 907 places to eat in Thiruvananthapuram (Trivandrum),4.0
